,NUTS_ID_x,YYYY,KEY,HIT,SPE12_12,SPI12_12
65,AT2,1991,AT21991,0.0,-0.4694418609142304,-0.5752910971641539
66,AT2,1992,AT21992,0.0,-1.1102895736694336,-0.8718217611312866
67,AT2,1993,AT21993,0.0,-1.2912944555282593,-1.5515159368515017
68,AT2,1994,AT21994,0.0,-1.0563025474548342,-1.1031804084777832
69,AT2,1995,AT21995,0.0,-1.7225068807601929,-1.8284305334091189
70,AT2,1996,AT21996,0.0,0.1404317319393158,0.27432918548583984
71,AT2,1997,AT21997,0.0,-1.268784761428833,-1.5244796276092532
72,AT2,1998,AT21998,0.0,-0.5800107717514038,-0.5631107687950134
73,AT2,1999,AT21999,0.0,0.12927033007144928,-0.044447824358940125
74,AT2,2000,AT22000,0.0,-1.2212438583374023,-0.947488009929657
75,AT2,2001,AT22001,0.0,-2.534693479537964,-3.68534255027771
76,AT2,2002,AT22002,0.0,-0.6047844290733337,-0.5748860836029053
77,AT2,2003,AT22003,0.0,-2.3540000915527344,-2.37211012840271
78,AT2,2004,AT22004,0.0,-0.20229946076869965,-0.3751888573169708
79,AT2,2005,AT22005,0.0,-0.7008776068687439,-0.6857563257217407
80,AT2,2006,AT22006,0.0,-1.658753514289856,-1.6532241106033323
81,AT2,2007,AT22007,0.0,-0.8292564153671265,-0.6114175915718079
82,AT2,2008,AT22008,0.0,-0.5886574387550354,-0.8169007897377014
83,AT2,2009,AT22009,0.0,0.6155256032943726,0.6883602142333984
84,AT2,2010,AT22010,0.0,-0.41502320766448975,-0.4243588149547577
85,AT2,2011,AT22011,0.0,-1.8907601833343504,-1.9180845022201536
86,AT2,2012,AT22012,0.0,-0.7283416390419006,-0.3126468956470489
87,AT3,1970,AT31970,0.0,-0.7036313414573669,-0.7384871840476991
88,AT3,1971,AT31971,0.0,-2.8035006523132324,-3.153639316558838
89,AT3,1972,AT31972,0.0,-1.9982050657272337,-2.342925548553467
90,AT3,1973,AT31973,0.0,-1.2213144302368164,-1.2612807750701904
91,AT3,1974,AT31974,0.0,-1.4412897825241089,-1.5389089584350586
92,AT3,1975,AT31975,0.0,-1.8514345884323118,-1.928887724876404
93,AT3,1976,AT31976,0.0,-1.8885527849197388,-1.941551089286804
94,AT3,1977,AT31977,0.0,-1.426240086555481,-1.4633536338806152
95,AT3,1978,AT31978,0.0,-1.86726987361908,-2.1729447841644287
96,AT3,1979,AT31979,0.0,-1.2555993795394895,-1.3498579263687134
97,AT3,1980,AT31980,0.0,-1.8425533771514893,-2.253133535385132
98,AT3,1981,AT31981,0.0,-1.2270355224609375,-1.2579140663146973
99,AT3,1982,AT31982,0.0,-1.5272234678268433,-1.4231241941452026
100,AT3,1983,AT31983,0.0,-1.932934045791626,-1.6761301755905151
101,AT3,1984,AT31984,0.0,-1.6241812705993652,-1.984949231147766
102,AT3,1985,AT31985,0.0,-1.4530621767044067,-1.4447236061096191
103,AT3,1986,AT31986,0.0,-1.6050821542739868,-1.5738941431045532
104,AT3,1987,AT31987,0.0,-0.09963680058717728,-0.2358648627996445
105,AT3,1988,AT31988,0.0,0.003991038538515568,-0.01620468683540821
106,AT3,1989,AT31989,0.0,-1.3529826402664185,-1.5430543422698977
107,AT3,1990,AT31990,0.0,-1.1062660217285156,-0.9896517992019652
108,AT3,1991,AT31991,0.0,-1.2981057167053225,-1.3719089031219482
109,AT3,1992,AT31992,0.0,-1.105366587638855,-0.9789716005325316
110,AT3,1993,AT31993,0.0,-0.572084903717041,-0.4594630897045136
111,AT3,1994,AT31994,0.0,-1.6422326564788818,-1.3935071229934692
112,AT3,1995,AT31995,0.0,-0.035657785832881934,-0.0738295465707779
113,AT3,1996,AT31996,0.0,-0.6702128648757935,-0.8459748625755309
114,AT3,1997,AT31997,0.0,-1.488670825958252,-1.346669316291809
115,AT3,1998,AT31998,0.0,-0.3877355456352234,-0.4449222087860107
116,AT3,1999,AT31999,0.0,-0.13029785454273224,-0.17457590997219086
117,AT3,2000,AT32000,0.0,0.047968722879886634,0.3974249660968781
118,AT3,2001,AT32001,0.0,-0.5815228819847107,-0.8775392174720764
119,AT3,2002,AT32002,0.0,0.6197728514671326,0.7291573882102966
120,AT3,2003,AT32003,0.0,-2.6079375743865967,-2.3563873767852783
