"","X","AD","AL","AT","BA","BE","BG","BY","CH","CY","CZ","DE","DK","EE","EL","ES","FI","FO","FR","GG","HR","HU","IE","IM","IS","IT","JE","LI","LT","LU","LV","MC","MD","ME","MK","NL","NO","PL","PT","RO","RS","SE","SI","SK","SM","TR","UA","UK","VA"
"1","1958-01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","1958-02",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","1958-03",0.205369521180789,0.464196990852655,1.56608987810155,1.0577362555902,0.543445349596013,0.631762514164871,2.70059289019091,0.524841218846538,0.355282816643778,1.31227672956334,0.940150058191406,0.612402652734262,0.258799442108446,-0.272215088820203,0.244541250969976,-0.470370410991776,0.162115844824011,0.524703972197305,0.425143331289291,0.638449950559597,0.923200520597223,0.421999259277313,-0.239185967103199,-0.46676964325445,-0.113441534178277,0.90146404504776,0.808369815349579,1.55225749560765,0.363783755540848,0.75267219080005,-0.734635889530182,0.952371633490291,1.00812228738174,0.371475181370866,0.463547262677648,-0.498207549391741,1.87086303342268,0.239292400041947,1.03190929857286,1.42219369130694,-0.424953175542455,0.913548602895127,1.36164451110836,0.316239982843399,0.677245373509204,1.55406188840659,0.185001304802272,NA
"4","1958-04",-0.30536183466514,1.1548250193538,1.20986492648554,1.8067885985284,0.408322651400724,0.903590877689834,2.50736197415355,0.66512597883705,-1.72054504030629,1.29307087114194,0.673495820204806,0.262722266533227,-0.209269707927585,-0.388410617253703,-0.117763938710393,-0.284277144519848,0.33535670051499,0.218401761393539,-0.376457393169403,0.926334901677929,1.08083267649129,-0.488680955100603,-0.929986200950764,-0.717297224572152,0.529688197333334,0.011764619499445,0.840362668037415,1.20741154452235,0.0454522680938244,0.222801914149519,0.377526372671127,0.948385944315417,1.96010935939169,0.734428987592889,0.0654387749222621,-0.368686465432914,2.19753614043926,-0.136832713273763,1.5453342424052,2.35361648928777,-0.239261862846993,0.677543835065662,1.55535072616626,1.50217616558075,0.299375007199138,1.69235740299596,-0.220900651045693,NA
"5","1958-05",-0.107532741626104,1.27819563585375,-0.449952705194757,0.311096941817154,-0.164955738158171,0.440382780675739,1.62950395479719,-0.208801128751234,-1.20855300018662,0.83699408428809,0.455244635003846,0.258573622570386,0.655547081022701,-0.142599207039948,-0.056660335017562,0.222097307551721,0.430041806092338,0.110833660812287,-0.348987311124802,-0.522602643431469,-0.832078499078899,-0.0532494680681496,-0.588639023127379,-1.38121485012261,0.405385890174421,0.0572935342788696,-0.359220504760742,0.823830129325795,0.319888815879822,0.482625264589492,0.0356102176010609,-0.311348699229208,1.256074721145,0.104700755906234,0.00711688270558262,-0.533912941768441,1.25161415847274,-0.249425824886066,-0.0573761723898456,0.261932657097448,0.177071447720891,-0.881808056507183,-0.0538775652180385,1.35905802249908,0.287677668550659,0.216077723515317,-0.161545061631033,NA
"6","1958-06",-0.655318848292033,0.101209001185802,0.282952774139075,-0.586573620980305,0.155989844606545,0.116900801788565,1.1309076514893,-0.130687871788395,-0.7875918960885,0.813148089608161,0.864563869632427,0.134041062177584,0.732397614762925,-0.413037556368565,-0.593824851141276,0.711158326894142,0.492306322805465,0.457046666781535,0.143862023949623,-0.196948999139455,-0.0281396757075208,0.804260741548439,1.15686924369247,-1.13140076015625,0.364237810183995,0.317604631185532,-0.337602287530899,0.705562348750984,0.864070641517639,0.661526600159135,0.333554029464722,0.487566507851494,-0.0759507912530828,-1.10472557844345,0.256452699429025,-0.181366964021263,0.600801252300137,-0.936296210988192,0.134837782286346,-1.25950919068079,0.242490424420539,0.129020405341977,-0.0221720282579451,0.665834248065948,-0.108876498832765,0.54766990851612,0.552019734008663,NA
"7","1958-07",0.325181047121684,-0.885074133959859,-0.261720840438311,-2.1557022244501,0.465917085664939,-1.54078738090105,0.438529947180395,-0.223136789203618,-0.45049287647401,0.629126736301202,1.08110307159644,1.33634804602111,0.827717181930858,-1.30304940157253,-0.0569853381081855,0.924877373638814,-0.161852921285327,0.981306369476369,1.15573596954346,-1.32556836897035,-0.759476372109263,2.02461096893451,2.64854897393121,-2.0970050427844,-0.418574229516609,1.17252802848816,-0.67424476146698,0.517292714858947,1.14863554286957,0.601401691713346,0.0771997720003128,-0.647944984222771,-1.32571704329839,-2.32794841091125,0.614555312090558,0.302143405995498,-0.042394930820478,-0.393233509284703,-1.47629368584426,-2.57717757424219,0.684013947742335,-0.25243706697697,-0.476641494153935,-1.10810577869415,-0.156184023530359,-0.0110734388016619,1.73781547263678,NA
"8","1958-08",0.73755302700835,-1.07270520307757,0.75216735944833,-1.71819519913786,0.902643827300419,-1.33815530877341,0.736403964805952,0.487998024147288,-1.30231230258942,1.05589421116616,1.20281321493925,1.38680069090642,0.228849704003762,-1.37373471413906,0.536263349153269,-0.00744252778473097,0.890353487597571,1.51565435794298,3,-0.564031232251642,0.365212821584202,1.57043638656809,1.98202233402817,-1.60603888542075,-0.400469950117931,2.45904636383057,-0.293301999568939,0.158677073615749,0.720701794147491,-0.00798978702212808,0.912384569644928,0.753045262250514,-1.00703524413888,-1.90439385702894,0.860599383141825,-0.257446390988637,0.406719038613335,0.624669839819653,-0.206485115240009,-1.96329019908996,0.389631868186525,1.36062462979833,0.730449521043853,-0.869843244552612,0.384608355298501,0.894109076506361,1.22536758220484,NA
"9","1958-09",0.496067071954409,-0.908109111776236,-0.22904938645684,-1.87654709950129,1.27731137373514,-1.40730127801062,0.0530434901226193,0.265814409390929,-1.79021757056839,0.237457934663343,0.856457052334532,1.28084101138183,-0.51100895094387,-0.279965691372416,0.0496242132768147,-0.756928868853898,0.367945396237903,1.14303401709671,1.10380780696869,-1.46266889936949,-0.980678024117796,1.30750221076949,1.36586186179408,-1.08279567792576,-1.20513267485919,0.78350156545639,-0.295111984014511,-0.121094300420511,0.699207703113556,-0.551821889383763,-0.0873647928237915,-0.185222736084179,-1.14418940085479,-1.18831552425231,1.03223782074256,-0.460986866798505,0.108002960049876,-0.263303404135985,-0.659199902501763,-1.77716019700146,-0.175204655867751,-0.0465379910521363,-0.239059768169185,-1.77820479869843,0.537867731113567,0.101753008206636,1.30579010841762,NA
"10","1958-10",-0.552178038160006,-0.447817203245665,1.28018325806702,-1.09334397991989,0.944500240215397,-0.657624653039732,0.619957856367321,0.840466491955361,-2.52802891731262,0.864859703613205,0.820907246416617,0.17360430364716,-1.10755491137802,-0.0546091307551928,-0.174557552250113,-1.60539791859916,0.367893524822735,0.431487183739206,1.06097435951233,-0.575414335910688,-0.398873728901121,0.292596635355004,0.109771792535429,-0.196413776763638,-0.698882686875421,0.89497709274292,0.781692326068878,-0.175499766214567,0.653959732532501,-0.786251426573291,-0.526180565357208,0.870173889927179,-0.796544322228155,-0.466437537882087,0.764077856078174,-0.347583351937373,0.51860160781428,-0.832359585746655,0.0776077629759396,-0.904244671282783,-0.526192837702917,0.324691558533216,0.474501943232838,-1.53754687309265,-0.0460229932739312,0.660860334627636,0.449167578903047,NA
